"","SYMBOL"
"855","SLC39A10"
"856","DENND4A"
"857","PAQR3"
"858","NPC2"
"859","THAP6"
"860","OGT"
"861","PCNX1"
"862","CD3E"
"863","SIDT1"
"864","FDFT1"
"865","CARM1"
"866","MINK1"
"867","SVEP1"
"868","ZCCHC2"
"869","ZDHHC21"
"870","CASP5"
"871","C11orf68"
"872","KCNRG"
"873","LCORL"
"874","MINDY2"
"875","MYLK4"
"876","EBI3"
"877","FCHSD2"
"878","FCHSD1"
"879","SYNRG"
"880","AGAP3"
"881","IL10RB"
"882","HOXC11"
"883","FOXRED1"
"884","OTUD5"
"885","CERT1"
"886","CCDC32"
"887","EIF3A"
"888","CMPK1"
"889","ELMOD1"
"890","CD80"
"891","ZNRF3"
"892","ADAMTSL3"
"893","PPFIA2"
"894","ATG9A"
"895","ITPR1"
"896","OTUB1"
"897","CACNB4"
"898","VTCN1"
"899","ELOVL6"
"900","ELK4"
"901","KCNAB1"
"902","GTF3C5"
"903","ZNF367"
"904","TSEN2"
"905","SMIM21"
"906","SIK1"
"907","ESRP1"
"908","NCS1"
"909","ABCB5"
"910","HOXC8"
"911","MAP4"
"912","ODAPH"
"913","RTN4"
"914","GSG1"
"915","TAF7L"
"916","PELI2"
"917","MRAS"
"918","MAPK9"
"919","MYT1L"
"920","RCE1"
"921","NELFA"
"922","M6PR"
"923","ANKRD13B"
"924","KIF16B"
"925","NLGN1"
"926","ATP1B4"
"927","CNOT2"
"928","VAPB"
"929","TTC38"
"930","ZNF25"
"931","RCOR3"
"932","RABL3"
"933","FNDC3B"
"934","IL7R"
"935","PUF60"
"936","OSBPL3"
"937","KRT33B"
"938","AVEN"
"939","LDOC1"
"940","PDE3B"
"941","BPTF"
"942","TUT1"
"943","ZNF423"
"944","STAC2"
"945","RNF43"
"946","KRTAP9-2"
"947","CYB561"
"948","BTF3"
"949","SMAD3"
"950","SAV1"
"951","PBX3"
"952","RTL3"
"953","PCBP4"
"954","GPR137"
"955","NKIRAS1"
"956","KL"
"957","PLPP3"
"958","KCNU1"
"959","TMEM199"
"960","LDLRAD2"
"961","TMEM121B"
"962","IMPG1"
"963","KRTAP9-8"
"964","CYP2S1"
"965","WNT4"
"966","ALDH1A3"
"967","BEST4"
"968","AP2B1"
"969","PRR15L"
"970","KCNIP1"
"971","TBRG1"
"972","PRKAB2"
"973","UNC13A"
"974","ANKS1A"
"975","C1orf220"
"976","SUZ12"
"977","WASL"
"978","TRAK1"
"979","KDR"
"980","FOSL1"
"981","RICTOR"
"982","PRR5L"
"983","FOLR2"
"984","U2SURP"
"985","HLA-DQB2"
"986","SEL1L"
"987","PHF20"
"988","LAMTOR3"
"989","APP"
"990","PWWP2B"
"991","MDN1"
"992","HMBOX1"
"993","LYPLAL1"
"994","VAT1"
"995","ABCC5"
"996","TRIM36"
"997","IPPK"
"998","ARPP21"
"999","GNG12"
"1000","NKD1"
"1001","SLC13A1"
"1002","WDR62"
"1003","PTPRJ"
"1004","TTPAL"
"1005","TXNDC17"
"1006","GOLT1B"
"1007","ATP2B2"
"1008","KATNAL1"
"1009","ANK2"
"1010","CACNA2D1"
"1011","CLDN2"
"1012","SEMA5B"
"1013","PTCH2"
"1014","COPS7B"
"1015","GLYATL3"
"1016","PFKM"
"1017","CASZ1"
"1018","PPP6R3"
"1019","CHD6"
"1020","NBAS"
"1021","DDX10"
"1022","ANKRD17"
"1023","ZNHIT6"
"1024","DNAJA2"
"1025","HOXD1"
"1026","TTLL5"
"1027","SINHCAF"
"1028","CDK8"
"1029","FKBP1A"
"1030","HIRA"
"1031","CDV3"
"1032","MLLT6"
"1033","PPP1R2"
"1034","PAM"
"1035","CTDSPL"
"1036","SFXN1"
"1037","LRRK1"
"1038","CBX6"
"1039","KANK1"
"1040","CKB"
"1041","ITGA10"
"1042","TMEM43"
"1043","EGLN1"
"1044","ELMO2"
"1045","PCDHA10"
"1046","PCDHA8"
"1047","COMT"
"1048","RASSF2"
"1050","TRPC1"
"1051","SNX11"
"1052","MAP3K21"
"1053","SLC35F5"
"1054","NAA25"
"1055","PRKAR2A"
"1056","WDR47"
"1057","GOLGA4"
"1058","GNA12"
"1059","ARCN1"
"1060","ZNF705A"
"1061","SCN2A"
"1062","RNF217"
"1063","STXBP1"
"1064","PAG1"
"1065","ZBTB46"
"1066","CCDC18"
"1067","MTMR11"
"1068","ZBTB9"
"1069","PPT2"
"1070","GALNT7"
"1071","SLC22A17"
"1072","CCDC88C"
"1073","CAPRIN1"
"1074","RCL1"
"1075","WWP1"
"1076","HNRNPA1"
"1077","XDH"
"1078","DNAJC16"
"1079","PLD1"
"1080","SLC24A3"
"1081","GPAT4"
"1082","SEMA6A"
"1083","FAM120C"
"1084","PRR13"
"1085","ZNF705D"
"1086","EGLN2"
"1087","CLCN3"
"1088","TNFAIP8L3"
"1089","PARD6B"
"1090","FHIP2A"
"1091","KLHL15"
"1092","SPSB4"
"1093","RHPN2"
"1094","PPIL1"
"1095","ARMC8"
"1096","STKLD1"
"1097","SIX4"
"1098","XPO4"
"1099","EFNB2"
"1100","RIPOR2"
"1101","IRF4"
"1102","TMEM87B"
"1103","VMA21"
"1104","ZNF705B"
"1105","CPSF6"
"1106","BVES"
"1107","STK38"
"1108","AP5S1"
"1109","RNF165"
"1110","CSRNP2"
"1111","GPC6"
"1112","POU4F2"
"1113","CCNY"
"1114","C5orf47"
"1115","ST7L"
"1116","SLC25A22"
"1117","THSD4"
"1118","MFN2"
"1119","RAB3B"
"1120","CD274"
"1121","CYB561D1"
"1122","INTS6L"
"1123","KBTBD4"
"1124","GABRA1"
"1125","DZIP1"
"1126","PSMA5"
"1127","CALM1"
"1128","TXN2"
"1129","EN2"
"1130","ZNF704"
"1131","IRF2BPL"
"1132","MOSMO"
"1133","UTP25"
"1134","SUPT16H"
"1135","DUSP3"
"1136","RUBCNL"
"1137","CHD2"
"1138","SYTL2"
"1139","NOTCH2"
"1140","DRAM1"
"1141","TTC39B"
"1142","SPRTN"
"1143","NBEA"
"1144","OCRL"
"1145","HAUS3"
"1146","FLCN"
"1147","RAB30"
"1148","YAP1"
"1149","SNX18"
"1150","OTX1"
"1151","ANLN"
"1152","THRB"
"1153","PIAS2"
"1154","ABHD2"
"1155","CCDC144NL"
"1156","BCL11B"
"1157","CD40"
"1158","LAMP2"
"1159","LOC401589"
"1160","SBNO1"
